model,year,price,mileage,tax,mpg,engineSize,manual,automatic,fuelType,petrol,diesel,hybrid
X3,2019,33990,1926,145,54.3,2,0,1,1,0,1,0
Mokka X,2017,11295,46201,145,47.1,1.4,1,0,4,1,0,0
Golf,2019,20498,5193,145,43.5,1.5,0,1,4,1,0,0
2 Series,2019,28861,123,145,39.8,3,0,1,4,1,0,0
Citigo,2016,7750,14691,20,64.2,1,1,0,4,1,0,0
Focus,2016,9290,27583,20,70.6,2,1,0,1,0,1,0
Tiguan,2018,26995,22585,145,49.6,2,0,1,1,0,1,0
Kuga,2019,17998,6514,150,45.6,1.5,1,0,1,0,1,0
3 Series,2015,9750,56038,20,68.9,2,1,0,1,0,1,0
C Class,2019,30498,4977,145,57.7,2,0,1,1,0,1,0
Mokka,2015,9990,35000,200,40.4,1.4,0,1,4,1,0,0
A1,2014,10398,24856,125,52.3,1.4,1,0,4,1,0,0
Golf,2015,10995,28076,30,53.3,1.4,1,0,4,1,0,0
Insignia,2017,13491,33165,150,54.3,2,1,0,1,0,1,0
Q3,2019,24990,7000,145,40.9,1.5,1,0,4,1,0,0
A4,2019,20991,10577,145,51.4,2,0,1,1,0,1,0
Golf,2016,14150,16475,30,53.3,1.4,0,1,4,1,0,0
1 Series,2019,26413,12262,145,41.5,1.5,1,0,4,1,0,0
2 Series,2019,21356,15006,145,47.9,2,0,1,4,1,0,0
Zafira,2017,9998,17661,205,41.5,1.4,1,0,4,1,0,0
Tucson,2019,17995,25,145,34.9,1.6,1,0,4,1,0,0
Insignia,2015,8990,67582,0,76.3,2,1,0,1,0,1,0
CL Class,2017,17892,10393,150,51.4,1.6,1,0,4,1,0,0
Mondeo,2015,9299,78798,125,57.7,2,0,1,1,0,1,0
Superb,2019,25250,4000,145,38.2,2,0,1,4,1,0,0
Octavia,2019,16990,3842,145,54.3,2,1,0,1,0,1,0
Yeti Outdoor,2017,12999,15020,125,51.4,1.2,1,0,4,1,0,0
A6,2013,11995,40003,145,56.5,2,0,1,1,0,1,0
Kona,2018,12249,27177,145,52.3,1,1,0,4,1,0,0
Fabia,2017,8495,28376,145,60.1,1.2,1,0,4,1,0,0
Fabia,2019,9457,7654,145,57.7,1,1,0,4,1,0,0
I10,2020,12495,2100,145,56.5,1,1,0,4,1,0,0
6 Series,2019,41980,4028,145,42.2,2,0,1,1,0,1,0
Santa Fe,2019,34495,4890,145,39.2,2.2,0,1,1,0,1,0
Q3,2019,28000,5000,145,42.8,2,1,0,1,0,1,0
C-HR,2019,17995,5905,145,41.5,1.2,1,0,4,1,0,0
Golf,2017,13498,11849,145,54.3,1.4,1,0,4,1,0,0
Kuga,2018,13559,50226,145,64.2,1.5,1,0,1,0,1,0
Rapid,2016,8495,39000,30,64.2,1.6,1,0,1,0,1,0
Tucson,2018,16500,12875,145,38.7,1.6,1,0,4,1,0,0
Corsa,2018,10000,8826,150,54.3,1.4,1,0,4,1,0,0
Polo,2016,8995,39412,20,60.1,1.2,1,0,4,1,0,0
Focus,2011,4195,62506,260,36.7,1.6,0,1,4,1,0,0
Yaris,2018,10850,10741,145,47.1,1.5,1,0,4,1,0,0
Astra,2007,10000,106000,200,43.5,1.6,1,0,4,1,0,0
Q2,2019,23991,9256,145,46.3,1.6,0,1,1,0,1,0
A3,2019,32500,9292,150,34.9,2,0,1,4,1,0,0
Santa Fe,2019,33250,3620,145,42.8,2.2,0,1,1,0,1,0
Fabia,2013,6465,20360,125,53.3,1.2,0,1,4,1,0,0
S Class,2019,104590,3671,145,31.7,4,0,1,4,1,0,0
Touareg,2019,49990,6000,145,34,3,0,1,1,0,1,0
A Class,2016,12390,49846,20,72.4,1.5,1,0,1,0,1,0
CL Class,2017,20961,16536,200,42.2,2,1,0,4,1,0,0
RS6,2017,57995,34926,325,29.4,4,0,1,4,1,0,0
A Class,2016,17624,16479,20,68.9,2.1,0,1,1,0,1,0
A5,2019,26888,1500,145,39.8,2,0,1,4,1,0,0
Mokka X,2017,10298,20814,145,47.1,1.4,1,0,4,1,0,0
I10,2016,6480,20295,30,57.6,1.2,1,0,4,1,0,0
X1,2018,22780,10147,150,60.1,2,0,1,1,0,1,0
